Timestamp,State,Trial Number,Delay,Distance,Direction,P_x,P_y,P_z,O_x,O_y,O_z,O_w
1731299878.1313717,practice,1,100,0.02,right,9.059906005859375e-06,-2.631545066833496e-05,5.409121513366699e-06,0.5929137468338013,-0.36955973505973816,-0.38638249039649963,0.602152407169342
1731299878.1520536,practice,1,100,0.02,right,1.823902130126953e-05,-1.1265277862548828e-05,-2.5614164769649506e-05,0.5929585099220276,-0.36926528811454773,-0.38666731119155884,0.6021060347557068
1731299878.1726642,practice,1,100,0.02,right,3.516674041748047e-05,-4.503130912780762e-05,3.169197589159012e-05,0.5931113362312317,-0.36898526549339294,-0.386938214302063,0.6019532084465027
1731299878.1932485,practice,1,100,0.02,right,1.5735626220703125e-05,3.0428171157836914e-05,-7.126759737730026e-05,0.593143105506897,-0.36878401041030884,-0.3871323764324188,0.6019203662872314
1731299878.2137678,practice,1,100,0.02,right,-1.430511474609375e-06,3.7550926208496094e-06,-6.501749157905579e-05,0.5933107137680054,-0.36819615960121155,-0.38769984245300293,0.601749837398529
1731299878.2344346,practice,1,100,0.02,right,-1.0669231414794922e-05,-2.6792287826538086e-05,9.712763130664825e-06,0.5937286615371704,-0.3674233555793762,-0.3884461224079132,0.601328432559967
1731299878.2549546,practice,1,100,0.02,right,-3.039836883544922e-06,1.710653305053711e-05,2.533756196498871e-05,0.5939140915870667,-0.36691468954086304,-0.3889361321926117,0.60113924741745
1731299878.275536,practice,1,100,0.02,right,-1.5676021575927734e-05,-1.1473894119262695e-05,-4.551094025373459e-05,0.5938001275062561,-0.3663553297519684,-0.38947248458862305,0.601245641708374
1731299878.2960384,practice,1,100,0.02,right,1.0192394256591797e-05,1.1444091796875e-05,-9.699724614620209e-06,0.5938771963119507,-0.36638301610946655,-0.3894463777542114,0.6011696457862854
1731299878.3165295,practice,1,100,0.02,right,-1.4483928680419922e-05,3.1888484954833984e-06,-2.636481076478958e-05,0.5940365791320801,-0.3664138615131378,-0.3894176483154297,0.6010119318962097
1731299883.3443477,practice,2,100,0.06,right,4.947185516357422e-06,-1.0579824447631836e-05,-1.95428729057312e-05,0.5933994054794312,-0.36726677417755127,-0.38888537883758545,0.6014652848243713
1731299883.365025,practice,2,100,0.06,right,-3.3974647521972656e-06,1.4930963516235352e-05,2.6687979698181152e-05,0.593383252620697,-0.3672511875629425,-0.3889002799987793,0.601481020450592
1731299883.385743,practice,2,100,0.06,right,-1.621246337890625e-05,-1.481175422668457e-05,2.0001083612442017e-05,0.5933741927146912,-0.3672318756580353,-0.3889186680316925,0.6014898419380188
1731299883.4063597,practice,2,100,0.06,right,1.233816146850586e-05,-1.2189149856567383e-05,1.778826117515564e-05,0.593369722366333,-0.3672458529472351,-0.38890522718429565,0.6014943718910217
1731299883.4269028,practice,2,100,0.06,right,-1.6629695892333984e-05,-2.1338462829589844e-05,-3.522820770740509e-05,0.5933789014816284,-0.3672446012496948,-0.3889065980911255,0.6014852523803711
1731299883.447574,practice,2,100,0.06,right,-3.5762786865234375e-07,3.606081008911133e-06,-4.925765097141266e-05,0.5933845043182373,-0.3672555088996887,-0.38889607787132263,0.6014798283576965
1731299883.4680808,practice,2,100,0.06,right,5.424022674560547e-06,2.9802322387695312e-06,-1.853145658969879e-05,0.593390166759491,-0.3672402799129486,-0.38891077041625977,0.6014740467071533
1731299883.4887385,practice,2,100,0.06,right,6.973743438720703e-06,-1.6748905181884766e-05,-1.8715858459472656e-05,0.5933936238288879,-0.36724236607551575,-0.3889088034629822,0.6014705896377563
1731299883.509334,practice,2,100,0.06,right,2.980232238769531e-07,-1.3709068298339844e-06,2.2057443857192993e-05,0.5934248566627502,-0.3672355115413666,-0.3889155685901642,0.6014396548271179
1731299883.5298653,practice,2,100,0.06,right,1.0251998901367188e-05,2.905726432800293e-05,2.60770320892334e-05,0.5934367179870605,-0.36723941564559937,-0.388911634683609,0.6014280915260315
1731299883.5505323,practice,2,100,0.06,right,-9.5367431640625e-07,-1.3470649719238281e-05,1.2656673789024353e-05,0.5934357643127441,-0.36724355816841125,-0.388907790184021,0.6014289855957031
1731299883.5710359,practice,2,100,0.06,right,-1.823902130126953e-05,-2.9146671295166016e-05,-9.67271625995636e-06,0.5934349298477173,-0.3672547936439514,-0.3888970911502838,0.6014299392700195
1731299883.5916681,practice,2,100,0.06,right,1.3947486877441406e-05,2.849102020263672e-05,-2.0677223801612854e-05,0.5934242010116577,-0.3672690689563751,-0.3888832628726959,0.6014406681060791
1731299883.6122055,practice,2,100,0.06,right,4.76837158203125e-06,-1.8030405044555664e-05,-8.314847946166992e-06,0.5934132933616638,-0.3672752380371094,-0.38887718319892883,0.601451575756073
1731299883.622519,practice,2,100,0.06,right,2.562999725341797e-06,-4.112720489501953e-06,7.642433047294617e-06,0.5934024453163147,-0.3672751784324646,-0.3888772130012512,0.6014623641967773
1731299883.6328099,practice,2,100,0.06,right,5.364418029785156e-07,2.771615982055664e-06,-2.3346394300460815e-05,0.5933935046195984,-0.3672751188278198,-0.3888772428035736,0.6014713048934937
1731299883.6434224,practice,2,100,0.06,right,1.0251998901367188e-05,2.092123031616211e-05,-1.7646700143814087e-05,0.5933857560157776,-0.3672686517238617,-0.3888832628726959,0.6014788150787354
1731299883.6537962,practice,2,100,0.06,right,2.384185791015625e-07,-1.996755599975586e-06,-2.5920569896697998e-05,0.5933764576911926,-0.36726969480514526,-0.3888823091983795,0.6014879941940308
1731299883.6641066,practice,2,100,0.06,right,1.1026859283447266e-05,1.4126300811767578e-05,2.3581087589263916e-06,0.5933737754821777,-0.36727404594421387,-0.38887807726860046,0.6014907360076904
1731299883.6744356,practice,2,100,0.06,right,3.6954879760742188e-06,1.4513731002807617e-05,1.1138617992401123e-06,0.5933846831321716,-0.3672749400138855,-0.3888772428035736,0.6014800667762756
1731299883.684743,practice,2,100,0.06,right,1.9669532775878906e-06,8.851289749145508e-06,-1.3399869203567505e-05,0.5933856964111328,-0.36726921796798706,-0.38888269662857056,0.6014789342880249
1731299883.7053697,practice,2,100,0.06,right,1.9669532775878906e-05,7.420778274536133e-06,9.590759873390198e-06,0.5933809876441956,-0.3672583997249603,-0.38889309763908386,0.6014835238456726
1731299883.7157269,practice,2,100,0.06,right,-1.436471939086914e-05,2.130866050720215e-05,2.9616057872772217e-06,0.5933895707130432,-0.3672546148300171,-0.38889679312705994,0.601474940776825
1731299883.7260208,practice,2,100,0.06,right,1.4901161193847656e-06,-5.781650543212891e-06,1.631304621696472e-05,0.5933837890625,-0.3672467768192291,-0.38890424370765686,0.6014806032180786
1731299883.7363977,practice,2,100,0.06,right,-5.066394805908203e-06,-1.570582389831543e-05,-1.3940036296844482e-05,0.5933794379234314,-0.36723601818084717,-0.388914555311203,0.6014847159385681
1731299883.7467067,practice,2,100,0.06,right,1.710653305053711e-05,1.6033649444580078e-05,4.72143292427063e-05,0.5933701395988464,-0.3672305941581726,-0.38891974091529846,0.6014940142631531
1731299883.7570152,practice,2,100,0.06,right,-8.225440979003906e-06,-3.0368566513061523e-05,-9.924173355102539e-06,0.5933675169944763,-0.36722853779792786,-0.38892167806625366,0.6014965772628784
1731299883.7673101,practice,2,100,0.06,right,-1.0967254638671875e-05,-2.5928020477294922e-05,1.4716759324073792e-05,0.5933616161346436,-0.36722779273986816,-0.3889223635196686,0.6015024185180664
1731299883.7776155,practice,2,100,0.06,right,9.59634780883789e-06,2.4020671844482422e-05,1.878291368484497e-05,0.5933190584182739,-0.3672076463699341,-0.3889414966106415,0.6015443205833435
1731299883.7981775,practice,2,100,0.06,right,5.841255187988281e-06,-2.9921531677246094e-05,1.3537704944610596e-05,0.5933247208595276,-0.367207407951355,-0.38894161581993103,0.6015387177467346
1731299883.8085074,practice,2,100,0.06,right,1.3113021850585938e-06,-3.361701965332031e-05,-2.2338703274726868e-05,0.5933158993721008,-0.36723801493644714,-0.3889121115207672,0.6015479564666748
1731299883.8187969,practice,2,100,0.06,right,2.384185791015625e-07,2.1904706954956055e-05,4.956498742103577e-06,0.593344509601593,-0.3672410845756531,-0.38890931010246277,0.6015196442604065
1731299883.8291817,practice,2,100,0.06,right,2.562999725341797e-06,9.5367431640625e-06,-2.110004425048828e-05,0.5933523774147034,-0.3672262132167816,-0.38892361521720886,0.6015117168426514
1731299883.8397198,practice,2,100,0.06,right,-7.748603820800781e-07,-1.3500452041625977e-05,-2.7626752853393555e-05,0.5933510065078735,-0.36723506450653076,-0.3889150321483612,0.6015132069587708
1731299883.8500886,practice,2,100,0.06,right,9.775161743164062e-06,4.32133674621582e-06,3.5000964999198914e-05,0.5933506488800049,-0.3672444820404053,-0.3889058530330658,0.6015136241912842
1731299883.860453,practice,2,100,0.06,right,-3.993511199951172e-06,1.6868114471435547e-05,-1.3250857591629028e-05,0.5933462381362915,-0.36724454164505005,-0.3889058232307434,0.6015179753303528
1731299883.8707557,practice,2,100,0.06,right,-6.616115570068359e-06,-2.4765729904174805e-05,9.73045825958252e-06,0.5933433175086975,-0.3672405183315277,-0.3889096975326538,0.601520836353302
1731299883.8810508,practice,2,100,0.06,right,9.715557098388672e-06,-2.6226043701171875e-06,-2.3674219846725464e-05,0.5933326482772827,-0.3672490417957306,-0.3889015018939972,0.6015315055847168
1731299883.9015892,practice,2,100,0.06,right,-2.2649765014648438e-06,-2.5570392608642578e-05,1.805834472179413e-05,0.5933009386062622,-0.36725756525993347,-0.38889315724372864,0.6015629172325134
1731299883.9118917,practice,2,100,0.06,right,-3.2782554626464844e-06,-1.6361474990844727e-05,5.824491381645203e-06,0.5932935476303101,-0.36725741624832153,-0.38889312744140625,0.6015702486038208
1731299883.9221892,practice,2,100,0.06,right,1.3589859008789062e-05,3.159046173095703e-05,2.89231538772583e-05,0.5932776927947998,-0.36725497245788574,-0.3888954520225525,0.6015859246253967
1731299883.93249,practice,2,100,0.06,right,-7.927417755126953e-06,2.771615982055664e-06,8.463859558105469e-06,0.5932673215866089,-0.3672451972961426,-0.38890478014945984,0.6015960574150085
1731299883.943026,practice,2,100,0.06,right,-1.0788440704345703e-05,-4.112720489501953e-06,-5.032867193222046e-06,0.5932613611221313,-0.36722129583358765,-0.3889276683330536,0.6016017198562622
1731299883.9533427,practice,2,100,0.06,right,1.1324882507324219e-06,-1.0281801223754883e-05,4.269927740097046e-05,0.5932393670082092,-0.3672064244747162,-0.3889417350292206,0.6016234159469604
1731299883.9636447,practice,2,100,0.06,right,1.233816146850586e-05,3.8504600524902344e-05,-4.230067133903503e-06,0.5932648181915283,-0.3672173321247101,-0.3889312446117401,0.6015984416007996
1731299883.9739382,practice,2,100,0.06,right,1.6093254089355469e-06,8.732080459594727e-06,2.1724030375480652e-05,0.5931997299194336,-0.36723563075065613,-0.3889133036136627,0.6016630530357361
1731299883.9842849,practice,2,100,0.06,right,1.0073184967041016e-05,-2.09808349609375e-05,2.1589919924736023e-05,0.5931702852249146,-0.3672678470611572,-0.388882040977478,0.6016926169395447
1731299884.0048823,practice,2,100,0.06,right,2.3663043975830078e-05,2.9772520065307617e-05,1.7931684851646423e-05,0.5931683778762817,-0.36728107929229736,-0.3888693153858185,0.6016947031021118
1731299884.0254977,practice,2,100,0.06,right,2.562999725341797e-06,-1.519918441772461e-05,-2.4689361453056335e-05,0.5931875705718994,-0.36729729175567627,-0.3888537883758545,0.6016759276390076
1731299884.035836,practice,2,100,0.06,right,8.344650268554688e-07,8.612871170043945e-06,1.7508864402770996e-05,0.5932413339614868,-0.36726656556129456,-0.3888835906982422,0.6016224026679993
1731299888.6632488,practice,3,100,0.02,up,-1.1622905731201172e-05,-4.500150680541992e-05,-1.9215047359466553e-05,0.5933092832565308,-0.36722999811172485,-0.38891929388046265,0.6015546917915344
1731299888.6837833,practice,3,100,0.02,up,-1.621246337890625e-05,2.9414892196655273e-05,-2.1113082766532898e-05,0.5932816863059998,-0.3672611117362976,-0.3888893723487854,0.6015822291374207
1731299888.7043576,practice,3,100,0.02,up,-1.1682510375976562e-05,8.344650268554688e-06,-4.3958425521850586e-07,0.5932826399803162,-0.36724919080734253,-0.3889007568359375,0.6015811562538147
1731299888.7248394,practice,3,100,0.02,up,-1.436471939086914e-05,-2.9921531677246094e-05,-4.144385457038879e-06,0.5932658910751343,-0.36727818846702576,-0.38887280225753784,0.6015980839729309
1731299888.7454257,practice,3,100,0.02,up,3.814697265625e-06,2.2798776626586914e-05,6.122514605522156e-06,0.5932503342628479,-0.3672880530357361,-0.3888632655143738,0.6016135215759277
1731299888.7661579,practice,3,100,0.02,up,3.4570693969726562e-06,8.344650268554688e-06,1.625344157218933e-05,0.5931954979896545,-0.36727362871170044,-0.3888770341873169,0.6016675233840942
1731299888.786677,practice,3,100,0.02,up,2.682209014892578e-06,1.2546777725219727e-05,-1.5683472156524658e-05,0.593174934387207,-0.3672869801521301,-0.3888642489910126,0.6016878485679626
1731299888.8071935,practice,3,100,0.02,up,5.245208740234375e-06,2.9802322387695312e-08,-2.779252827167511e-05,0.5931995511054993,-0.3672885298728943,-0.38886305689811707,0.6016634106636047
1731299888.8277154,practice,3,100,0.02,up,1.2516975402832031e-06,1.9729137420654297e-05,8.013099431991577e-06,0.593154788017273,-0.3673253059387207,-0.38882771134376526,0.6017079949378967
1731299888.8482811,practice,3,100,0.02,up,1.4126300811767578e-05,-1.5288591384887695e-05,1.8209218978881836e-05,0.5931999087333679,-0.3673429489135742,-0.3888112008571625,0.60166335105896
1731299888.8689399,practice,3,100,0.02,up,7.62939453125e-06,-2.086162567138672e-07,4.254840314388275e-05,0.5931870937347412,-0.36734330654144287,-0.38881105184555054,0.6016759276390076
1731299888.8894715,practice,3,100,0.02,up,1.6927719116210938e-05,1.436471939086914e-05,7.830560207366943e-06,0.5932018160820007,-0.36734315752983093,-0.3888114392757416,0.6016613245010376
1731299888.9099932,practice,3,100,0.02,up,-4.231929779052734e-06,-2.1636486053466797e-05,4.0102750062942505e-06,0.5932119488716125,-0.36731866002082825,-0.3888351023197174,0.6016509532928467
1731299888.9203513,practice,3,100,0.02,up,5.364418029785156e-07,-2.294778823852539e-05,1.2665987014770508e-07,0.5932407975196838,-0.3673124313354492,-0.3888412415981293,0.6016222834587097
1731299888.9408572,practice,3,100,0.02,up,-1.8477439880371094e-06,2.1219253540039062e-05,-4.499591886997223e-05,0.5932433009147644,-0.367265909910202,-0.38888612389564514,0.6016191840171814
1731299892.3729548,practice,4,400,0.06,up,8.106231689453125e-06,2.0772218704223633e-05,2.246163785457611e-05,0.5932636260986328,-0.3673534095287323,-0.3888116478919983,0.6015939712524414
1731299892.3935292,practice,4,400,0.06,up,-1.3828277587890625e-05,-3.123283386230469e-05,3.2864511013031006e-05,0.5932355523109436,-0.3674122989177704,-0.3887549638748169,0.6016222238540649
1731299892.4141154,practice,4,400,0.06,up,-1.9669532775878906e-06,-9.834766387939453e-07,-2.0887702703475952e-05,0.5931849479675293,-0.3674626052379608,-0.3887062966823578,0.6016728281974792
1731299892.4347265,practice,4,400,0.06,up,-1.823902130126953e-05,-4.318356513977051e-05,-3.5060569643974304e-05,0.5931521654129028,-0.36748969554901123,-0.38868021965026855,0.6017055511474609
1731299892.4553022,practice,4,400,0.06,up,4.231929779052734e-06,1.6927719116210938e-05,-9.154900908470154e-06,0.5931663513183594,-0.36741092801094055,-0.3887559175491333,0.6016907095909119
1731299892.47603,practice,4,400,0.06,up,-1.3828277587890625e-05,-3.3468008041381836e-05,-6.200745701789856e-06,0.5931943655014038,-0.3673897981643677,-0.38877636194229126,0.6016627550125122
1731299892.496634,practice,4,400,0.06,up,-1.0251998901367188e-05,2.2083520889282227e-05,-5.58607280254364e-06,0.5931529998779297,-0.3673638701438904,-0.38880112767219543,0.601703405380249
1731299892.5171945,practice,4,400,0.06,up,-1.1742115020751953e-05,-3.120303153991699e-05,1.1544674634933472e-05,0.5931646823883057,-0.3673557937145233,-0.3888089060783386,0.6016917824745178
