Timestamp,State,Trial Number,Phase,Delay,Distance,Direction,P_x,P_y,P_z,O_x,O_y,O_z,O_w
1737325494.3545382,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.3753996,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.3963327,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.418129,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.471113,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.5023077,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.5231528,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.544031,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.565097,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.585905,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.6072595,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.6282368,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.6493697,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.6702225,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.6913018,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.7121124,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.7338622,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.7547326,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.7755008,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
